Invoice Text,Category
Gati - container movement for corporate account INV-2026-8573,Logistics
software subscription billed by Oracle ref:926762,Cloud/Software
AKASA AIR travel expense,Travel
Tata Power inv0ice for water chg,Utilities
BSNL - utility surcharge for corporate account,Utilities
DTDC last mile shipment ref:926762,Logistics
internet bill from CESC,Utilities
cloud hosting billed by Salesforce Amt INR 39736,Cloud/Software
SKU inventory purchase billed by AgriSupply PO#19232,Inventory
Uber invoice for conference travel PO#19232,Travel
GATI cargo handling,Logistics
ElectroParts - raw material purchase for corporate account Amt INR 39736,Inventory
MAERSK last mile shipment,Logistics
Delhivery invoice for shipping surcharge,Logistics
IHG Hotels - lodging charges for corporate account Amt INR 39736,Travel
ChemStore - industrial inventory for corporate account,Inventory
WB Stationers - folders and binders for corporate account INV-2026-8573,Office Supplies
INDIGO lodging charges Amt INR 39736,Travel
water charges from Tata Power Amt INR 39736,Utilities
SpiceJet invoice for airport transfer PO#19232,Travel
Salesforce - annual renewal for corporate account,Cloud/Software
AIR INDIA client meeting travel,Travel
Blue Dart courier chg PO#19232,Logistics
cargo handling billed by Maersk ref:926762,Logistics
AgriSupply invoice for manufacturing supplies PO#19232,Inventory
Atlassian - software subscription for corporate account,Cloud/Software
BSNL water charges,Utilities
annual renewal from GitHub INV-2026-8573,Cloud/Software
Microsoft - annual renewal for corporate account PO#19232,Cloud/Software
travel expense billed by MakeMyTrip PO#19232,Travel
Tata Power inv0ice for meter consumption chg INV-2026-8573,Utilities
conference travel from SpiceJet PO#19232,Travel
hotel accommodation from Uber Amt INR 39736,Travel
TATA POWER gas utility payment INV-2026-8573,Utilities
water utility charges from Vodafone ref:926762,Utilities
AWS crm subscription PO#19232,Cloud/Software
Maersk air freight,Logistics
Adobe - database hosting for corporate account,Cloud/Software
Akasa Air invoice for airport transfer PO#19232,Travel
airport transfer from Ola ref:926762,Travel
Air India invoice for flight ticket Amt INR 39736,Travel
desk supplies from WB Stationers,Office Supplies
meter consumption charges billed by Energy Board PO#19232,Utilities
GOOGLE CLOUD software subscription ref:926762,Cloud/Software
Tata Power invoice for broadband invoice Amt INR 39736,Utilities
IndiGo invoice for lodging charges INV-2026-8573,Travel
Delhivery invoice for container movement,Logistics
ATLASSIAN developer tools INV-2026-8573,Cloud/Software
Ola client meeting travel,Travel
HP STORE printer cartridges Amt INR 39736,Office Supplies
courier chg billed by Delhivery,Logistics
database hosting billed by Salesforce INV-2026-8573,Cloud/Software
ChemStore - finished goods procurement for corporate account Amt INR 39736,Inventory
GitHub invoice for database hosting,Cloud/Software
STAPLES printer paper,Office Supplies
